"#","Код","Параметр:Код:Тип подсоединения","Параметр:Код:Подсоединение","Параметр:Код:Диапазон температуры (Впишите диапазон самостоятельно в комментарии к заказу.)","Параметр:Код:Материал корпуса, крышки","Параметр:Код:Диаметр термобаллона, мм","Параметр:Код:Конфигурация","Параметр:Код:Материал защитного экрана","Параметр:Код:Электроконтакты","Параметр:Код:Диаметр шкалы, мм","Параметр:Код:Заполнение термобаллона"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-G-MS22","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-G-MS3","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-L","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-L-MS1","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-L-MS2","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-L-MS11","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-L-MS12","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-L-MS21","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-L-MS22","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-2-__mm-L-MS3","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-G","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-G-MS1","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-G-MS2","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-G-MS11","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-G-MS12","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-G-MS21","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-G-MS22","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-G-MS3","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-L","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-L-MS1","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-L-MS2","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-L-MS11","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-L-MS12","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-L-MS21","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-L-MS22","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-3-__mm-L-MS3","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø8мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-G","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-G-MS1","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-G-MS2","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-G-MS11","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-G-MS12","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-G-MS21","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-G-MS22","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-G-MS3","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-L","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-L-MS1","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-L-MS2","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-L-MS11","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-L-MS12","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-L-MS21","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-L-MS22","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-A-S-4-__mm-L-MS3","A: Фиксированная резьба","NPT 3/8","___С","SS316","ø10мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-G","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-G-MS1","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-G-MS2","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-G-MS11","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-G-MS12","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-G-MS21","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-G-MS22","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-G-MS3","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-L","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-L-MS1","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-L-MS2","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-L-MS11","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-L-MS12","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-L-MS21","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-L-MS22","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-1-__mm-L-MS3","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø4мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-G","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-G-MS1","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-G-MS2","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-G-MS11","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-G-MS12","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-G-MS21","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-G-MS22","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-G-MS3","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-L","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","нет","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-L-MS1","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-L-MS2","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-L-MS11","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-G-6N-100-B-__C-B-S-2-__mm-L-MS12","B: Вращающаяся резьба","NPT 3/8","___С","SS316","ø6мм","Подсоединение снизу<br><img src=assets/inventory/sh4-sh4.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Жидкость"
