"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Заполнение глицерином","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G20-S-2N-40A-850psi-VE-GW","от 0 до 850psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-1500psi-VE-GW","от 0 до 1500psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-2300psi-VE-GW","от 0 до 2300psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-3500psi-VE-GW","от 0 до 3500psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-6000psi-VE-GW","от 0 до 6000psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40B-8psi-VE-GW","от 0 до 8psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-15psi-VE-GW","от 0 до 15psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-23psi-VE-GW","от 0 до 23psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-35psi-VE-GW","от 0 до 35psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-60psi-VE-GW","от 0 до 60psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-85psi-VE-GW","от 0 до 85psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-150psi-VE-GW","от 0 до 150psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-230psi-VE-GW","от 0 до 230psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-350psi-VE-GW","от 0 до 350psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-600psi-VE-GW","от 0 до 600psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-850psi-VE-GW","от 0 до 850psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-1500psi-VE-GW","от 0 до 1500psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-2300psi-VE-GW","от 0 до 2300psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-3500psi-VE-GW","от 0 до 3500psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-6000psi-VE-GW","от 0 до 6000psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40A-V0psi-VE-GW","от -14.5 до 0psi","G 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V8psi-VE-GW","от -14.5 до 8psi","G 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V20psi-VE-GW","от -14.5 до 20psi","G 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V40psi-VE-GW","от -14.5 до 40psi","G 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V70psi-VE-GW","от -14.5 до 70psi","G 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V130psi-VE-GW","от -14.5 до 130psi","G 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V200psi-VE-GW","от -14.5 до 200psi","G 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2G-40A-V350psi-VE-GW","от -14.5 до 350psi","G 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2G-40B-V0psi-VE-GW","от -14.5 до 0psi","G 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V8psi-VE-GW","от -14.5 до 8psi","G 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V20psi-VE-GW","от -14.5 до 20psi","G 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V40psi-VE-GW","от -14.5 до 40psi","G 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V70psi-VE-GW","от -14.5 до 70psi","G 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V130psi-VE-GW","от -14.5 до 130psi","G 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V200psi-VE-GW","от -14.5 до 200psi","G 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40B-V350psi-VE-GW","от -14.5 до 350psi","G 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2G-40F-V0psi-VE-GW","от -14.5 до 0psi","G 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V8psi-VE-GW","от -14.5 до 8psi","G 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V20psi-VE-GW","от -14.5 до 20psi","G 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V40psi-VE-GW","от -14.5 до 40psi","G 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V70psi-VE-GW","от -14.5 до 70psi","G 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V130psi-VE-GW","от -14.5 до 130psi","G 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V200psi-VE-GW","от -14.5 до 200psi","G 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2G-40F-V350psi-VE-GW","от -14.5 до 350psi","G 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-10M-40A-V0psi-VE-GW","от -14.5 до 0psi","M10x1","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V8psi-VE-GW","от -14.5 до 8psi","M10x1","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V20psi-VE-GW","от -14.5 до 20psi","M10x1","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V40psi-VE-GW","от -14.5 до 40psi","M10x1","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V70psi-VE-GW","от -14.5 до 70psi","M10x1","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V130psi-VE-GW","от -14.5 до 130psi","M10x1","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V200psi-VE-GW","от -14.5 до 200psi","M10x1","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-10M-40A-V350psi-VE-GW","от -14.5 до 350psi","M10x1","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-10M-40B-V0psi-VE-GW","от -14.5 до 0psi","M10x1","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V8psi-VE-GW","от -14.5 до 8psi","M10x1","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V20psi-VE-GW","от -14.5 до 20psi","M10x1","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V40psi-VE-GW","от -14.5 до 40psi","M10x1","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V70psi-VE-GW","от -14.5 до 70psi","M10x1","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V130psi-VE-GW","от -14.5 до 130psi","M10x1","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V200psi-VE-GW","от -14.5 до 200psi","M10x1","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-10M-40B-V350psi-VE-GW","от -14.5 до 350psi","M10x1","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-10M-40F-V0psi-VE-GW","от -14.5 до 0psi","M10x1","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-10M-40F-V8psi-VE-GW","от -14.5 до 8psi","M10x1","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-10M-40F-V20psi-VE-GW","от -14.5 до 20psi","M10x1","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-10M-40F-V40psi-VE-GW","от -14.5 до 40psi","M10x1","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-10M-40F-V70psi-VE-GW","от -14.5 до 70psi","M10x1","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-10M-40F-V130psi-VE-GW","от -14.5 до 130psi","M10x1","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-10M-40F-V200psi-VE-GW","от -14.5 до 200psi","M10x1","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-10M-40F-V350psi-VE-GW","от -14.5 до 350psi","M10x1","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2N-40A-V0psi-VE-GW","от -14.5 до 0psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-V8psi-VE-GW","от -14.5 до 8psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-V20psi-VE-GW","от -14.5 до 20psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-V40psi-VE-GW","от -14.5 до 40psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-V70psi-VE-GW","от -14.5 до 70psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-V130psi-VE-GW","от -14.5 до 130psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-V200psi-VE-GW","от -14.5 до 200psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40A-V350psi-VE-GW","от -14.5 до 350psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/A.png>"
,"G20-S-2N-40B-V0psi-VE-GW","от -14.5 до 0psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-V8psi-VE-GW","от -14.5 до 8psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-V20psi-VE-GW","от -14.5 до 20psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-V40psi-VE-GW","от -14.5 до 40psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-V70psi-VE-GW","от -14.5 до 70psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-V130psi-VE-GW","от -14.5 до 130psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-V200psi-VE-GW","от -14.5 до 200psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40B-V350psi-VE-GW","от -14.5 до 350psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/B.png>"
,"G20-S-2N-40F-V0psi-VE-GW","от -14.5 до 0psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2N-40F-V8psi-VE-GW","от -14.5 до 8psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2N-40F-V20psi-VE-GW","от -14.5 до 20psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2N-40F-V40psi-VE-GW","от -14.5 до 40psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2N-40F-V70psi-VE-GW","от -14.5 до 70psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2N-40F-V130psi-VE-GW","от -14.5 до 130psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2N-40F-V200psi-VE-GW","от -14.5 до 200psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G20-S-2N-40F-V350psi-VE-GW","от -14.5 до 350psi","NPT 1/8","40мм","да","да","<img src=assets/inventory/F.png>"
,"G21-S-4G-50A-0,6bar","от 0 до 0.6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-1bar","от 0 до 1бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-1,6bar","от 0 до 1.6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-2,5bar","от 0 до 2.5бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-4bar","от 0 до 4бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-6bar","от 0 до 6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-10bar","от 0 до 10бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-16bar","от 0 до 16бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-25bar","от 0 до 25бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-40bar","от 0 до 40бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-60bar","от 0 до 60бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-100bar","от 0 до 100бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-160bar","от 0 до 160бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-250bar","от 0 до 250бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-400bar","от 0 до 400бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-600bar","от 0 до 600бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50A-1000bar","от 0 до 1000бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-0,6bar","от 0 до 0.6бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-1bar","от 0 до 1бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-1,6bar","от 0 до 1.6бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-2,5bar","от 0 до 2.5бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-4bar","от 0 до 4бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-6bar","от 0 до 6бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-10bar","от 0 до 10бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-16bar","от 0 до 16бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-25bar","от 0 до 25бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-40bar","от 0 до 40бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-60bar","от 0 до 60бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-100bar","от 0 до 100бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-160bar","от 0 до 160бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-250bar","от 0 до 250бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-400bar","от 0 до 400бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-600bar","от 0 до 600бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4N-50A-1000bar","от 0 до 1000бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-0,6bar","от 0 до 0.6бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-1bar","от 0 до 1бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-1,6bar","от 0 до 1.6бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-2,5bar","от 0 до 2.5бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-4bar","от 0 до 4бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-6bar","от 0 до 6бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-10bar","от 0 до 10бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-16bar","от 0 до 16бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-25bar","от 0 до 25бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-40bar","от 0 до 40бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-60bar","от 0 до 60бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-100bar","от 0 до 100бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-160bar","от 0 до 160бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-250bar","от 0 до 250бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-400bar","от 0 до 400бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-600bar","от 0 до 600бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-12M-50A-1000bar","от 0 до 1000бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/A.png>"
,"G21-S-4G-50B-0,6bar","от 0 до 0.6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-1bar","от 0 до 1бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-1,6bar","от 0 до 1.6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-2,5bar","от 0 до 2.5бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-4bar","от 0 до 4бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-6bar","от 0 до 6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-10bar","от 0 до 10бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-16bar","от 0 до 16бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-25bar","от 0 до 25бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-40bar","от 0 до 40бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-60bar","от 0 до 60бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-100bar","от 0 до 100бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-160bar","от 0 до 160бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-250bar","от 0 до 250бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-400bar","от 0 до 400бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-600bar","от 0 до 600бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50B-1000bar","от 0 до 1000бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-0,6bar","от 0 до 0.6бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-1bar","от 0 до 1бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-1,6bar","от 0 до 1.6бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-2,5bar","от 0 до 2.5бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-4bar","от 0 до 4бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-6bar","от 0 до 6бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-10bar","от 0 до 10бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-16bar","от 0 до 16бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-25bar","от 0 до 25бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-40bar","от 0 до 40бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-60bar","от 0 до 60бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-100bar","от 0 до 100бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-160bar","от 0 до 160бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-250bar","от 0 до 250бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-400bar","от 0 до 400бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-600bar","от 0 до 600бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4N-50B-1000bar","от 0 до 1000бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-0,6bar","от 0 до 0.6бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-1bar","от 0 до 1бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-1,6bar","от 0 до 1.6бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-2,5bar","от 0 до 2.5бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-4bar","от 0 до 4бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-6bar","от 0 до 6бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-10bar","от 0 до 10бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-16bar","от 0 до 16бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-25bar","от 0 до 25бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-40bar","от 0 до 40бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-60bar","от 0 до 60бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-100bar","от 0 до 100бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-160bar","от 0 до 160бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-250bar","от 0 до 250бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-400bar","от 0 до 400бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-600bar","от 0 до 600бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-12M-50B-1000bar","от 0 до 1000бар","M12x1.5","50мм","нет","нет","<img src=assets/inventory/B.png>"
,"G21-S-4G-50F-0,6bar","от 0 до 0.6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-1bar","от 0 до 1бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-1,6bar","от 0 до 1.6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-2,5bar","от 0 до 2.5бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-4bar","от 0 до 4бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-6bar","от 0 до 6бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-10bar","от 0 до 10бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-16bar","от 0 до 16бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-25bar","от 0 до 25бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-40bar","от 0 до 40бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-60bar","от 0 до 60бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-100bar","от 0 до 100бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-160bar","от 0 до 160бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-250bar","от 0 до 250бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-400bar","от 0 до 400бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-600bar","от 0 до 600бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4G-50F-1000bar","от 0 до 1000бар","G 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4N-50F-0,6bar","от 0 до 0.6бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4N-50F-1bar","от 0 до 1бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4N-50F-1,6bar","от 0 до 1.6бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4N-50F-2,5bar","от 0 до 2.5бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
,"G21-S-4N-50F-4bar","от 0 до 4бар","NPT 1/4","50мм","нет","нет","<img src=assets/inventory/F.png>"
